id	keyid	company_name	account_alias	address1	address2	state	city	postal_code	country
1	c25b3186bbf8296a0881db9e25d16149	FARMACIE ITALIANE SRL	NULL	VIA ABRUZZI 25	NULL	RM	ROMA	187	Italy
2	0fa7ef0b229b585ee90905455070db07	ã‚¤ãƒ¼ãƒˆãƒ³æ ªå¼ä¼šç¤¾	NULL	ï¼˜ä¸ç›®ï¼‘ï¼‘ï¼ï¼“ï¼—ã€€ãƒ¦ãƒ‹ã‚¾ä¹ƒæœ¨å‚ãƒ“ãƒ«	NULL	13	æ¸¯åŒº	ã€’107-0052	Japan
3	7af7d34b1ea036f29b7dbee27d425e97	Iglesia de Jesucristo de los Santos de los Ãšltimos DÃ­as	NULL	Boulevard Roble Oeste, 3era Calle Sur	Residencial Roble Oeste	FM	Tegucigalpa	NULL	Honduras
5	c0e267a15af185e92a06f347b1632888	MATTEL ASIA PACIFIC SOURCING LIMITED	NULL	11 & 12/F SOUTH TWR HONG KONG WORLD FINANCE CTR HARBOUR CITY	17 CANTON RD	KLN	Tsim Sha Tsui	NULL	Hong Kong
6	3b51bd46cc2f4f522fc1dbf69b3777be	LONGFORD PRIMARY SCHOOL	Department for Education, Children and Young People Tasmania	CNR WILLIAM AND CATHRYN ST	NULL	TAS	LONGFORD	7301	Australia
8	faad6f2ba4b38a215278edbb74a5da92	MK SPA	NULL	VIA CIRO MENOTTI 77	NULL	MI	RHO	20017	Italy
9	ff95e75e2f79bc18e8109fe0135a5af6	WWS SERVICES PRESTADORA DE SERVICOS LTDA EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL	NULL	Rua AntÃ´nio CorrÃªa Barbosa, 1086	Edif. Cons Paran Escrit 12	SP	Piracicaba	13400-810	Brazil
10	bf9a78c85e33babb0b0c3eba0367c8cf	AE Technology Services Germany GmbH	Datacenter One GmbH	Schickardstr. 19	NULL	BW	BÃ¶blingen	71034	Germany
11	a346e6295281cd1aee3f39724e9e8b48	GLAMYO TECHNOLOGIES PRIVATE LIMITED	NULL	Flat 612, Mercantile House, 15, Kasturba Gandhi Marg	NULL	DL	New Delhi	110001	India
12	37f08e73a8fee8a872aa323d8d8bf044	CASAS FRATERNAIS O NAZARENO	NULL	Al. FRANCISCO ALVES 137	ANDAR 2 SALA 22	SP	SANTO ANDRE	09090-790	Brazil
13	1e5bb77317a285f45a8c9184e8fcf69e	CAISSE DES ECOLES D'OPPEDE	CAISSE DES ECOLES D'OPPEDE	Hotel De Ville	NULL	NULL	Oppede	84580	France
14	222cdfd13be873eaa3c2cedcf184cde2	è‹±åœ‹åŠæ©‹å¤§å­¸èªžè¨€æ¸¬è©•è€ƒè©¦é™¢	Cambridge English Language Assessment	Room 311, 12th Floor, No. 51 Hengyang Road, Taipei 100, Taiwan,R.O.C	NULL	TPE	TAIPEI	100	Taiwan
